,price_close,price_close,price_close,price_close,price_close,price_close,price_close,price_close,price_close,price_close,price_close,price_close,price_close,price_close,price_close,price_close,price_close,price_close
symbol,ADA,ATOM,AVAX,BCH,BTC,DAI,DOGE,DOT,ETH,LINK,LTC,LUNA,MATIC,SHIB,SOL,TRX,UNI,XRP
time_period_end,,,,,,,,,,,,,,,,,,
2019/01/02,0.0421,0.0,0.0,163.66,3826.1,0.0,0.0,0.0,139.75,0.0,31.68,0.0,0.0,0.0,0.0,0.0,0.0,0.364
2019/01/03,0.045274,0.0,0.0,170.1,3886.2,0.0,0.0,0.0,153.51,0.0,32.94,0.0,0.0,0.0,0.0,0.0,0.0,0.3716
2019/01/04,0.042251,0.0,0.0,159.88,3787.57,0.0,0.0,0.0,147.23,0.0,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.35416
2019/01/05,0.043808,0.0,0.0,159.39,3820.82,0.0,0.0,0.0,153.24,0.0,32.02,0.0,0.0,0.0,0.0,0.0,0.0,0.3563
2019/01/06,0.044145,0.0,0.0,159.58,3797.41,0.0,0.0,0.0,153.85,0.0,34.48,0.0,0.0,0.0,0.0,0.0,0.0,0.3495
2019/01/07,0.048691,0.0,0.0,164.7,4040.99,0.0,0.0,0.0,155.92,0.0,38.88,0.0,0.0,0.0,0.0,0.0,0.0,0.36492
2019/01/08,0.04813,0.0,0.0,159.5,4005.3,0.0,0.0,0.0,150.62,0.0,37.71,0.0,0.0,0.0,0.0,0.0,0.0,0.36236
2019/01/09,0.048125,0.0,0.0,159.76,3993.86,0.0,0.0,0.0,149.01,0.0,39.13,0.0,0.0,0.0,0.0,0.0,0.0,0.36379
2019/01/10,0.051932,0.0,0.0,158.7,4004.12,0.0,0.0,0.0,149.56,0.0,38.58,0.0,0.0,0.0,0.0,0.0,0.0,0.36737
2019/01/11,0.044137,0.0,0.0,133.11,3626.12,0.0,0.0,0.0,126.45,0.0,33.27,0.0,0.0,0.0,0.0,0.0,0.0,0.32775
2019/01/12,0.043796,0.0,0.0,129.28,3635.1,0.0,0.0,0.0,125.83,0.0,31.79,0.0,0.0,0.0,0.0,0.0,0.0,0.32856
2019/01/13,0.043386,0.0,0.0,133.04,3617.13,0.0,0.0,0.0,124.59,0.0,32.04,0.0,0.0,0.0,0.0,0.0,0.0,0.32839
2019/01/14,0.0397,0.0,0.0,124.4,3514.24,0.0,0.0,0.0,115.58,0.0,29.92,0.0,0.0,0.0,0.0,0.0,0.0,0.31549
2019/01/15,0.043866,0.0,0.0,132.33,3664.19,0.0,0.0,0.0,128.39,0.0,32.07,0.0,0.0,0.0,0.0,0.0,0.0,0.33176
2019/01/16,0.042224,0.0,0.0,126.38,3582.09,0.0,0.0,0.0,120.0,0.0,30.99,0.0,0.0,0.0,0.0,0.0,0.0,0.3241
2019/01/17,0.044339,0.0,0.0,127.4,3607.15,0.0,0.0,0.0,122.12,0.0,31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.32724
2019/01/18,0.045062,0.0,0.0,129.76,3638.01,0.0,0.0,0.0,122.55,0.0,31.62,0.0,0.0,0.0,0.0,0.0,0.0,0.32723
2019/01/19,0.043824,0.0,0.0,126.74,3612.2,0.0,0.0,0.0,119.53,0.0,30.96,0.0,0.0,0.0,0.0,0.0,0.0,0.32141
2019/01/20,0.045328,0.0,0.0,128.53,3681.0,0.0,0.0,0.0,123.09,0.0,32.22,0.0,0.0,0.0,0.0,0.0,0.0,0.32849
2019/01/21,0.042999,0.0,0.0,121.85,3536.72,0.0,0.0,0.0,117.43,0.0,30.61,0.0,0.0,0.0,0.0,0.0,0.0,0.31684
2019/01/22,0.042604,0.0,0.0,121.71,3531.76,0.0,0.0,0.0,115.86,0.0,30.82,0.0,0.0,0.0,0.0,0.0,0.0,0.31828
2019/01/23,0.043456,0.0,0.0,127.34,3576.81,0.0,0.0,0.0,118.08,0.0,31.48,0.0,0.0,0.0,0.0,0.0,0.0,0.3181
2019/01/24,0.042888,0.0,0.0,131.28,3553.01,0.0,0.0,0.0,116.55,0.0,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.31402
2019/01/25,0.042948,0.0,0.0,128.22,3571.3,0.0,0.0,0.0,116.4,0.0,32.47,0.0,0.0,0.0,0.0,0.0,0.0,0.31516
2019/01/26,0.042346,0.0,0.0,126.5,3561.0,0.0,0.0,0.0,115.06,0.0,32.73,0.0,0.0,0.0,0.0,0.0,0.0,0.31389
2019/01/27,0.042319,0.0,0.0,125.21,3556.07,0.0,0.0,0.0,115.01,0.0,32.64,0.0,0.0,0.0,0.0,0.0,0.0,0.3113
2019/01/28,0.040745,0.0,0.0,120.67,3531.02,0.0,0.0,0.0,111.35,0.0,32.01,0.0,0.0,0.0,0.0,0.0,0.0,0.305
2019/01/29,0.038447,0.0,0.0,111.05,3429.95,0.0,0.0,0.0,105.47,0.0,30.96,0.0,0.0,0.0,0.0,0.0,0.0,0.2926
2019/01/30,0.037948,0.0,0.0,109.01,3397.42,0.0,0.0,0.0,103.83,0.0,30.69,0.0,0.0,0.0,0.0,0.0,0.0,0.28558
2019/01/31,0.039301,0.0,0.0,116.3,3437.55,0.0,0.0,0.0,107.61,0.0,31.53,0.0,0.0,0.0,0.0,0.0,0.0,0.3188
2019/02/01,0.038247,0.0,0.0,112.9,3411.5,0.0,0.0,0.0,105.76,0.0,31.18,0.0,0.0,0.0,0.0,0.0,0.0,0.30739
2019/02/02,0.038398,0.0,0.0,114.45,3437.5,0.0,0.0,0.0,105.84,0.0,32.28,0.0,0.0,0.0,0.0,0.0,0.0,0.304
2019/02/03,0.038971,0.0,0.0,119.84,3468.43,0.0,0.0,0.0,109.24,0.0,34.15,0.0,0.0,0.0,0.0,0.0,0.0,0.30709
2019/02/04,0.03765,0.0,0.0,117.34,3414.78,0.0,0.0,0.0,105.91,0.0,32.87,0.0,0.0,0.0,0.0,0.0,0.0,0.29839
2019/02/05,0.037627,0.0,0.0,117.37,3409.57,0.0,0.0,0.0,106.08,0.0,33.64,0.0,0.0,0.0,0.0,0.0,0.0,0.29505
2019/02/06,0.037641,0.0,0.0,116.0,3431.39,0.0,0.0,0.0,106.0,0.0,33.94,0.0,0.0,0.0,0.0,0.0,0.0,0.2958
2019/02/07,0.036368,0.0,0.0,113.3,3367.4,0.0,0.0,0.0,103.26,0.0,32.47,0.0,0.0,0.0,0.0,0.0,0.0,0.28588
2019/02/08,0.036164,0.0,0.0,114.3,3359.0,0.0,0.0,0.0,103.32,0.0,32.85,0.0,0.0,0.0,0.0,0.0,0.0,0.28806
2019/02/09,0.040493,0.0,0.0,127.87,3621.99,0.0,0.0,0.0,117.96,0.0,42.52,0.0,0.0,0.0,0.0,0.0,0.0,0.30823
2019/02/10,0.040884,0.0,0.0,126.9,3625.7,0.0,0.0,0.0,117.98,0.0,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.30852
2019/02/11,0.0426,0.0,0.0,125.88,3648.84,0.0,0.0,0.0,123.94,0.0,46.51,0.0,0.0,0.0,0.0,0.0,0.0,0.30737
2019/02/12,0.041397,0.0,0.0,120.64,3590.36,0.0,0.0,0.0,119.43,0.0,42.37,0.0,0.0,0.0,0.0,0.0,0.0,0.29885
2019/02/13,0.041386,0.0,0.0,121.29,3588.61,0.0,0.0,0.0,120.82,0.0,43.25,0.0,0.0,0.0,0.0,0.0,0.0,0.30089
2019/02/14,0.040743,0.0,0.0,120.79,3576.68,0.0,0.0,0.0,120.58,0.0,41.21,0.0,0.0,0.0,0.0,0.0,0.0,0.301
2019/02/15,0.040022,0.0,0.0,119.93,3561.5,0.0,0.0,0.0,119.28,0.0,40.93,0.0,0.0,0.0,0.0,0.0,0.0,0.29768
2019/02/16,0.040193,0.0,0.0,120.05,3567.4,0.0,0.0,0.0,120.45,0.0,42.08,0.0,0.0,0.0,0.0,0.0,0.0,0.29889
2019/02/17,0.040676,0.0,0.0,120.2,3579.92,0.0,0.0,0.0,121.68,0.0,42.93,0.0,0.0,0.0,0.0,0.0,0.0,0.29737
2019/02/18,0.041171,0.0,0.0,122.52,3625.08,0.0,0.0,0.0,132.32,0.0,43.45,0.0,0.0,0.0,0.0,0.0,0.0,0.2996
2019/02/19,0.045202,0.0,0.0,142.4,3867.0,0.0,0.0,0.0,144.62,0.0,47.34,0.0,0.0,0.0,0.0,0.0,0.0,0.31951
2019/02/20,0.045773,0.0,0.0,140.81,3888.46,0.0,0.0,0.0,142.69,0.0,46.91,0.0,0.0,0.0,0.0,0.0,0.0,0.32111
2019/02/21,0.0473,0.0,0.0,145.5,3938.99,0.0,0.0,0.0,147.03,0.0,51.13,0.0,0.0,0.0,0.0,0.0,0.0,0.3285
2019/02/22,0.044461,0.0,0.0,140.5,3897.71,0.0,0.0,0.0,144.21,0.0,48.46,0.0,0.0,0.0,0.0,0.0,0.0,0.31739
2019/02/23,0.045625,0.0,0.0,142.53,3942.02,0.0,0.0,0.0,146.68,0.0,49.01,0.0,0.0,0.0,0.0,0.0,0.0,0.31899
2019/02/24,0.048336,0.0,0.0,153.0,4113.53,0.0,0.0,0.0,157.56,0.0,51.25,0.0,0.0,0.0,0.0,0.0,0.0,0.33134
2019/02/25,0.041575,0.0,0.0,126.49,3734.22,0.0,0.0,0.0,131.75,0.0,43.57,0.0,0.0,0.0,0.0,0.0,0.0,0.29661
2019/02/26,0.043416,0.0,0.0,132.92,3818.79,0.0,0.0,0.0,137.64,0.0,45.37,0.0,0.0,0.0,0.0,0.0,0.0,0.32696
2019/02/27,0.0428,0.0,0.0,131.6,3799.48,0.0,0.0,0.0,135.71,0.0,44.66,0.0,0.0,0.0,0.0,0.0,0.0,0.3161
2019/02/28,0.042813,0.0,0.0,130.35,3799.91,0.0,0.0,0.0,134.46,0.0,44.96,0.0,0.0,0.0,0.0,0.0,0.0,0.3093
2019/03/01,0.042765,0.0,0.0,129.44,3792.14,0.0,0.0,0.0,134.48,0.0,45.44,0.0,0.0,0.0,0.0,0.0,0.0,0.3142
2019/03/02,0.042762,0.0,0.0,130.5,3806.17,0.0,0.0,0.0,134.91,0.0,46.81,0.0,0.0,0.0,0.0,0.0,0.0,0.3151
2019/03/03,0.042345,0.0,0.0,130.12,3809.7,0.0,0.0,0.0,132.32,0.0,48.25,0.0,0.0,0.0,0.0,0.0,0.0,0.3135
2019/03/04,0.041913,0.0,0.0,128.85,3786.93,0.0,0.0,0.0,129.81,0.0,47.49,0.0,0.0,0.0,0.0,0.0,0.0,0.3095
2019/03/05,0.0402,0.0,0.0,122.7,3700.72,0.0,0.0,0.0,125.24,0.0,45.64,0.0,0.0,0.0,0.0,0.0,0.0,0.3013
2019/03/06,0.042601,0.0,0.0,131.75,3844.9,0.0,0.0,0.0,136.18,0.0,52.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3141
2019/03/07,0.0424,0.0,0.0,130.93,3851.89,0.0,0.0,0.0,137.0,0.0,55.26,0.0,0.0,0.0,0.0,0.0,0.0,0.3156
2019/03/08,0.042545,0.0,0.0,129.72,3857.05,0.0,0.0,0.0,136.29,0.0,56.51,0.0,0.0,0.0,0.0,0.0,0.0,0.3112
2019/03/09,0.042277,0.0,0.0,127.1,3843.12,0.0,0.0,0.0,132.74,0.0,55.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3067
2019/03/10,0.046392,0.0,0.0,132.77,3916.43,0.0,0.0,0.0,136.33,0.0,57.43,0.0,0.0,0.0,0.0,0.0,0.0,0.312
2019/03/11,0.045205,0.0,0.0,130.4,3900.93,0.0,0.0,0.0,134.66,0.0,56.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3115
2019/03/12,0.047391,0.0,0.0,128.2,3849.68,0.0,0.0,0.0,132.05,0.0,54.65,0.0,0.0,0.0,0.0,0.0,0.0,0.30837
2019/03/13,0.0471,0.0,0.0,127.6,3860.0,0.0,0.0,0.0,132.8,0.0,56.27,0.0,0.0,0.0,0.0,0.0,0.0,0.30816
2019/03/14,0.04618,0.0,0.0,127.28,3851.02,0.0,0.0,0.0,131.16,0.0,55.06,0.0,0.0,0.0,0.0,0.0,0.0,0.31175
2019/03/15,0.04733,0.0,0.0,131.3,3853.95,0.0,0.0,0.0,131.4,0.0,55.61,0.0,0.0,0.0,0.0,0.0,0.0,0.3096
2019/03/16,0.049579,0.0,0.0,142.5,3902.8,0.0,0.0,0.0,135.99,0.0,58.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3133
2019/03/17,0.05122,0.0,0.0,155.22,3990.0,0.0,0.0,0.0,140.48,0.0,61.01,0.0,0.0,0.0,0.0,0.0,0.0,0.318
2019/03/18,0.0497,0.0,0.0,153.5,3965.5,0.0,0.0,0.0,138.07,0.0,60.28,0.0,0.0,0.0,0.0,0.0,0.0,0.3136
2019/03/19,0.04978,0.0,0.0,160.3,3969.59,0.0,0.0,0.0,137.01,0.0,58.99,0.0,0.0,0.0,0.0,0.0,0.0,0.3135
2019/03/20,0.051971,0.0,0.0,159.58,4000.85,0.0,0.0,0.0,138.08,0.0,59.29,0.0,0.0,0.0,0.0,0.0,0.0,0.3149
2019/03/21,0.05328,0.0,0.0,158.56,4031.85,0.0,0.0,0.0,138.73,0.0,60.21,0.0,0.0,0.0,0.0,0.0,0.0,0.31617
2019/03/22,0.05234,0.0,0.0,152.4,3972.76,0.0,0.0,0.0,134.3,0.0,58.41,0.0,0.0,0.0,0.0,0.0,0.0,0.3093
2019/03/23,0.057744,0.0,0.0,156.15,3983.78,0.0,0.0,0.0,135.73,0.0,59.12,0.0,0.0,0.0,0.0,0.0,0.0,0.3099
2019/03/24,0.0631,0.0,0.0,165.32,3983.43,0.0,0.0,0.0,136.52,0.0,60.43,0.0,0.0,0.0,0.0,0.0,0.0,0.30943
2019/03/25,0.06119,0.0,0.0,163.3,3969.52,0.0,0.0,0.0,135.29,0.0,59.54,0.0,0.0,0.0,0.0,0.0,0.0,0.306
2019/03/26,0.058535,0.0,0.0,158.4,3907.53,0.0,0.0,0.0,132.94,0.0,58.66,0.0,0.0,0.0,0.0,0.0,0.0,0.3012
2019/03/27,0.061411,0.0,0.0,158.2,3921.45,0.0,0.0,0.0,133.29,0.0,58.46,0.0,0.0,0.0,0.0,0.0,0.0,0.301
2019/03/28,0.066811,0.0,0.0,170.23,4026.53,0.0,0.0,0.0,138.97,0.0,61.26,0.0,0.0,0.0,0.0,0.0,0.0,0.3085
2019/03/29,0.065188,0.0,0.0,167.1,4011.17,0.0,0.0,0.0,137.4,0.0,60.26,0.0,0.0,0.0,0.0,0.0,0.0,0.3049
2019/03/30,0.07135,0.0,0.0,170.13,4091.01,0.0,0.0,0.0,142.83,0.0,61.23,0.0,0.0,0.0,0.0,0.0,0.0,0.30714
2019/03/31,0.071569,0.0,0.0,166.6,4094.14,0.0,0.0,0.0,142.27,0.0,60.25,0.0,0.0,0.0,0.0,0.0,0.0,0.30978
2019/04/01,0.069574,0.0,0.0,168.64,4094.99,0.0,0.0,0.0,141.02,0.0,60.35,0.0,0.0,0.0,0.0,0.0,0.0,0.30811
2019/04/02,0.072044,0.0,0.0,167.3,4137.0,0.0,0.0,0.0,141.03,0.0,60.35,0.0,0.0,0.0,0.0,0.0,0.0,0.3122
2019/04/03,0.08599,0.0,0.0,242.96,4903.8,0.0,0.0,0.0,164.69,0.0,77.5,0.0,0.0,0.0,0.0,0.0,0.0,0.355
2019/04/04,0.091052,0.0,0.0,300.5,4975.97,0.0,0.0,0.0,161.33,0.0,85.6,0.0,0.0,0.0,0.0,0.0,0.0,0.3437
2019/04/05,0.087492,0.0,0.0,285.96,4906.49,0.0,0.0,0.0,157.62,0.0,84.95,0.0,0.0,0.0,0.0,0.0,0.0,0.331
2019/04/06,0.09095,0.0,0.0,293.76,5039.73,0.0,0.0,0.0,166.08,0.0,88.88,0.0,0.0,0.0,0.0,0.0,0.0,0.3636
2019/04/07,0.0895,0.0,0.0,306.66,5049.22,0.0,0.0,0.0,165.79,0.0,92.37,0.0,0.0,0.0,0.0,0.0,0.0,0.35242
2019/04/08,0.089778,0.0,0.0,319.6,5194.79,0.0,0.0,0.0,174.71,0.0,91.88,0.0,0.0,0.0,0.0,0.0,0.0,0.3627
2019/04/09,0.08707,0.0,0.0,309.88,5285.54,0.0,0.0,0.0,180.74,0.0,89.49,0.0,0.0,0.0,0.0,0.0,0.0,0.3578
2019/04/10,0.083719,0.0,0.0,295.48,5187.21,0.0,0.0,0.0,175.9,0.0,86.94,0.0,0.0,0.0,0.0,0.0,0.0,0.34968
2019/04/11,0.089759,0.0,0.0,304.73,5321.0,0.0,0.0,0.0,177.7,0.0,88.43,0.0,0.0,0.0,0.0,0.0,0.0,0.3549
2019/04/12,0.083127,0.0,0.0,270.67,5041.3,0.0,0.0,0.0,164.87,0.0,79.23,0.0,0.0,0.0,0.0,0.0,0.0,0.3285
2019/04/13,0.083091,0.0,0.0,282.2,5078.19,0.0,0.0,0.0,164.27,0.0,78.92,0.0,0.0,0.0,0.0,0.0,0.0,0.3251
2019/04/14,0.083451,0.0,0.0,278.07,5066.22,0.0,0.0,0.0,163.75,0.0,77.9,0.0,0.0,0.0,0.0,0.0,0.0,0.3262
2019/04/15,0.084502,0.0,0.0,289.0,5164.27,0.0,0.0,0.0,167.98,0.0,83.77,0.0,0.0,0.0,0.0,0.0,0.0,0.33
2019/04/16,0.081697,0.0,0.0,312.65,5027.31,0.0,0.0,0.0,159.91,0.0,78.24,0.0,0.0,0.0,0.0,0.0,0.0,0.31854
2019/04/17,0.083444,0.0,0.0,316.7,5202.9,0.0,0.0,0.0,166.38,0.0,80.89,0.0,0.0,0.0,0.0,0.0,0.0,0.326
